SubID	Agent fee	Seats	Travel from	Destination	Vehicle class
bpb-pattaya-to-suvarnabhumi-airport-mobilesticky	EUR 0.60	2	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-bangkok-to-pattaya-homepagemobilesticky	EUR 0.20	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.20	1	Don Mueang Bus Station	Pattaya Bus Terminal	bus
bpb-pattaya-to-suvarnabhumi-airport-mobilesticky	EUR 0.30	1	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-bangkok-to-pattaya-mobilesticky	EUR 1.26	2	Ekkamai	Pattaya North Bus Station	bus
bpb-bangkok-to-pattaya-guidemobilesticky	EUR 3.70	5	Mochit Minibus Station	Bali Hai Pier	van
bpb-suvarnabhumi-airport-to-pattaya-mobilesticky	EUR 0.13	1	Suvarnabhumi	Pattaya North Bus Station	bus
bpb-bangkok-to-pattaya-homepagemobilesticky	EUR 1.36	2	Ekkamai	Pattaya North Bus Station	bus
bpb-bangkok-to-pattaya-routecitytransfer	EUR 0.36	1	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-bangkok-to-pattaya-routecitytransfer	EUR 0.73	1	Ekkamai	Pattaya North Bus Station	bus
bpb-suvarnabhumi-airport-to-pattaya-mobilesticky	EUR 0.26	2	Suvarnabhumi	Pattaya North Bus Station	bus
bpb-pattaya-to-suvarnabhumi-airport-mobilesticky	EUR 0.31	1	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-pattaya-to-don-mueang-airport-routehelpbusfull	EUR 0.22	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-suvarnabhumi-airport-to-pattaya-mobilesticky	EUR 0.32	1	Suvarnabhumi	Pattaya North Bus Station	bus
bpb-pattaya-to-suvarnabhumi-airport-mobilesticky	EUR 1.03	4	Jomtien Bus station	Suvarnabhumi	bus
bpb-pattaya-to-bangkok-mobilesticky	EUR 0.93	2	Jomtien Bus station	Suvarnabhumi	bus
bpb-bangkok-to-pattaya-mobilesticky	EUR 1.32	2	Mochit Minibus Station	North Pattaya	van
bpb-pattaya-to-bangkok-mobilesticky	EUR 0.66	1	Pannipa Pattaya Tour Office Central Pattaya	Mo Chit BTS Station	van
bpb-pattaya-to-suvarnabhumi-airport-mobilesticky	EUR 0.26	2	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-pattaya-to-don-mueang-airport-guideshortanswer	EUR 0.22	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-pattaya-to-bangkok-mobilesticky	EUR 0.97	2	Pattaya North Bus Station	Ekkamai	bus
bpb-pattaya-to-bangkok-mobilesticky	EUR 0.26	2	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-pattaya-to-don-mueang-airport-mobilesticky	EUR 0.44	2	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-bangkok-to-pattaya-mobilesticky	EUR 0.66	1	Mochit Minibus Station	Bali Hai Pier	van
bpb-pattaya-to-don-mueang-airport-mobilesticky	EUR 0.22	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-suvarnabhumi-airport-to-pattaya-desktopsidebar	EUR 0.59	1	Suvarnabhumi	Jomtien Bus station	bus
bpb-pattaya-to-bangkok-mobilesticky	EUR 0.13	1	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-pattaya-to-don-mueang-airport-mobilesticky	EUR 0.22	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.22	1	Don Mueang Bus Station	Pattaya Bus Terminal	bus
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.22	1	Don Mueang Bus Station	Pattaya Bus Terminal	bus
bpb-suvarnabhumi-airport-to-pattaya-desktopsidebar	EUR 0.13	1	Suvarnabhumi	Pattaya North Bus Station	bus
bpb-pattaya-to-don-mueang-airport-desktopsidebar	EUR 0.22	1	Don Mueang Bus Station	Pattaya Bus Terminal	bus
